subject,condition,mean_angle_deg,resultant_len,n_trials
sub-33,avatar_valid,-178.330605323603,0.392834651611316,47
sub-33,avatar_invalid,176.837645546215,0.409719639489524,53
sub-33,stick_valid,-177.171038270547,0.393960642620989,50
sub-33,stick_invalid,-172.336895762799,0.385956905125698,52
sub-34,avatar_valid,-169.258420355131,0.280035969737035,34
sub-34,avatar_invalid,-171.42921032654,0.291584882889051,27
sub-34,stick_valid,-170.896857329274,0.214141854421237,43
sub-34,stick_invalid,-177.374491672584,0.288119578965989,37
sub-35,avatar_valid,-178.028930086195,0.467140670414471,49
sub-35,avatar_invalid,-178.041222352043,0.490634332188911,49
sub-35,stick_valid,-179.05025040052,0.506562687864152,49
sub-35,stick_invalid,-178.59687707506,0.496955513982725,46
sub-36,avatar_valid,170.079361366736,0.125766691271007,46
sub-36,avatar_invalid,-178.651093466674,0.14768435802912,52
sub-36,stick_valid,179.65197275056,0.233054215466351,24
sub-36,stick_invalid,179.374582810024,0.220545842173268,23
sub-37,avatar_valid,173.587035733136,0.166026980146871,47
sub-37,avatar_invalid,177.977132176096,0.178363412323423,47
sub-37,stick_valid,-172.480621068167,0.285333722738082,45
sub-37,stick_invalid,-172.101554033837,0.215602196629837,47
sub-38,avatar_valid,162.913206207093,0.0204063753545243,51
sub-38,avatar_invalid,160.714327375743,0.051091272735942,51
sub-38,stick_valid,174.789927332644,0.111360539487738,53
sub-38,stick_invalid,174.431078896403,0.152373376188808,55
sub-39,avatar_valid,-173.78714623862,0.238540962831057,51
sub-39,avatar_invalid,-177.193644998951,0.197677258388573,47
sub-39,stick_valid,171.301441781614,0.217358240369029,45
sub-39,stick_invalid,169.193228220632,0.251406711455335,41
sub-40,avatar_valid,-175.774861297208,0.393437901618161,44
sub-40,avatar_invalid,-177.743259651847,0.381453097159914,42
sub-40,stick_valid,-172.183675438051,0.423767392254338,54
sub-40,stick_invalid,-174.273760867938,0.459003466011097,51
sub-41,avatar_valid,-176.714008926651,0.386447230437666,45
sub-41,avatar_invalid,-168.276021583474,0.444373501717834,45
sub-41,stick_valid,-175.725060400394,0.411310531254099,47
sub-41,stick_invalid,-179.144944326999,0.394154116070408,47
sub-43,avatar_valid,-168.346477617614,0.237749292387826,47
sub-43,avatar_invalid,-179.437035900217,0.307441640454192,50
sub-43,stick_valid,-176.348003980844,0.376721930327019,46
sub-43,stick_invalid,-177.309938272564,0.33617042760467,46
sub-44,avatar_valid,178.074153627125,0.344530509886348,39
sub-44,avatar_invalid,-178.008757984111,0.392449408412807,42
sub-44,stick_valid,-179.500797845272,0.427598520958657,36
sub-44,stick_invalid,-175.428182421614,0.447513954893228,42
sub-45,avatar_valid,-172.233804879123,0.215063234081617,48
sub-45,avatar_invalid,-170.332816296474,0.235154659751872,44
sub-45,stick_valid,-170.818908798057,0.24415740119354,49
sub-45,stick_invalid,-172.571671337779,0.254003991210826,52
sub-46,avatar_valid,172.272925786797,0.391789196611957,52
sub-46,avatar_invalid,174.168417792758,0.415389785276684,45
sub-46,stick_valid,175.488689108486,0.346417820427757,54
sub-46,stick_invalid,177.063927681721,0.379378396413304,56
sub-48,avatar_valid,179.48071893254,0.225784221925519,42
sub-48,avatar_invalid,179.123530586359,0.215004699173937,41
sub-48,stick_valid,-177.965705520113,0.323870924421224,48
sub-48,stick_invalid,174.233050381276,0.344236025947625,47
sub-49,avatar_valid,-177.694637732941,0.223249068053531,34
sub-49,avatar_invalid,-171.061811906935,0.190078590861639,37
sub-49,stick_valid,-177.384444966948,0.157304611003865,32
sub-49,stick_invalid,-158.946064147319,0.207179711607385,38
sub-50,avatar_valid,178.691368002438,0.374366664429945,46
sub-50,avatar_invalid,-179.829657218282,0.407000744362846,48
sub-50,stick_valid,-172.9096998588,0.344227920986597,51
sub-50,stick_invalid,-175.80340010729,0.368907182076438,48
